Tweet,Lemmatized_Tokens
"Αν η #ΝΔ_no_borders δεν αλλάξει την πολιτική των ανοιχτών συνόρων και δεν αρχίσει να φυλάει τα σύνορα, είναι βέβαιο ότι θα αποτύχουν τα σχέδια.","['νδno', 'αλλάξω', 'πολιτικός', 'ανοιχτής', 'συνόρο', 'δεν', 'αρχίσω', 'φυλάω', 'σύνορος', 'βέβαιο', 'αποτύχω', 'σχέδιος', 'σύνορο']"
"RT @machiavelli_gr: Καιρίδης: ""Αν αποτύχουν τα σχέδια για το προσφυγικό τα ξερονήσια θα φαντάζουν Πολυάννα""","['καιρίδης', 'αποτύχω', 'σχέδιο', 'προσφυγικό', 'ξερονήσι', 'φαντάζω', 'πολυάννα']"
Αν η #ΝΔ_no_borders δεν αλλάξε…,"['νδno', 'αλλάξε', '…', 'σύνορο']"
Βίντεο Σοκ! Με λαθρομετανάστη να περιγράφει με υπερηφάνεια ομαδικό βιασμό! Κύριε @kmitsotakis αυτήν την εικόνα ονειρεύεστε για την πατρίδα μας? Γιατί το μπόλιασμα θα είναι κυριολεκτικό!,"['Βίντεο', 'σοκ', 'λαθρομετανάστη', 'περιγράφει', 'υπερηφάνεια', 'ομαδικό', 'βιασμό', 'κύριε', 'την', 'εικόνα', 'ονειρεύομαι', 'την', 'πατρίδο', 'γιατί', 'μπόλιασμα', 'είναι', 'κυριολεκτικό']"
RT @GigouMichail: Βίντεο Σοκ! Με λαθρομετανάστη να περιγράφει με υπερηφάνεια ομαδικό βιασμό! Κύριε @kmitsotakis αυτήν την εικόνα ονειρεύεστ…,"['Βίντεο', 'σοκ', 'λαθρομετανάστη', 'περιγράφει', 'υπερηφάνεια', 'ομαδικό', 'βιασμό', 'κύριε', 'την', 'εικόνα', 'ονειρεύεστ', '…']"
Πώς καταφέραμε κι επιβιώσαμε τόσα χρόνια χωρίς μουσουλμάνους λαθρομετανάστες;,"['καταφέραμε', 'επιβιώσαμε', 'χρόνια', 'μουσουλμάνους', 'λαθρομετανάστε']"
"Ας ανοίξουμε την αγκαλιά μας στα κατατρεγμένα προσφυγόπουλα που βιώνουν τον ρατσισμό, την βία και την περιθωριοποίηση.","['ανοίζω', 'αγκαλιά', 'στα', 'κατατρεγμένα', 'προσφυγόπουλο', 'βιώνω', 'ρατσισμό', 'βία', 'την', 'περιθωριοποίηση']"
"RT @stavroforos_: Ας ανοίξουμε την αγκαλιά μας στα κατατρεγμένα προσφυγόπουλα που βιώνουν τον ρατσισμό, την βία και την περιθωριοποίηση.","['ανοίζω', 'αγκαλιά', 'στα', 'κατατρεγμένα', 'προσφυγόπουλο', 'βιώνω', 'ρατσισμό', 'βία', 'την', 'περιθωριοποίηση']"
Η εικόνα μας στο προσφυγικό είναι επιεικώς τραγική αλλά και η πραγματικότητα στις δομές φιλοξενίας προσφύγων δεν τιμάει καθόλου τη χώρα μας. Γίνεται δριμύτατη κριτική από το εξωτερικό για το #μεταναστευτικό.,"['εικόνα', 'στο', 'προσφυγικό', 'επιεικώς', 'τραγικός', 'και', 'πραγματικότητα', 'δομή', 'φιλοξενία', 'προσφύγο', 'τιμώ', 'χώρα', 'γίνομαι', 'δριμύτατη', 'κριτική', 'εξωτερικό', 'μεταναστευτικό']"
"Ο #Κουλης,όμως,έχει άλλη δουλειά, διορίζει","['κουληςόμωςέχω', 'δουλειά', 'διορίζω']"
RT @Marka149133376: Η εικόνα μας στο προσφυγικό είναι επιεικώς τραγική αλλά και η πραγματικότητα στις δομές φιλοξενίας προσφύγων δεν τιμάει…,"['εικόνα', 'στο', 'προσφυγικό', 'επιεικώς', 'τραγικός', 'και', 'πραγματικότητα', 'δομή', 'φιλοξενία', 'προσφύγο', 'τιμώ', '…', 'thirtythree', 'three', 'seventysix']"
